	宅急送	远成物流	佳吉快递	EMS	韵达快递	申通快递	全峰快递	新邦物流	顺丰快递	德邦	优速快递	汇通快递	增益速递	飞豹快递	天天快递	安能物流	DHL	瑞丰速递	中铁	中铁快运	快捷快递	中通快递	全一	广通速递	龙邦速运	速尔快递	国通快递	邮政国内	圆通快递	天地华宇
宣恩县	1	0	0	0	8	1	1	0	0	0	1	2	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0
石首市	2	0	0	0	24	2	2	0	0	1	1	2	1	0	1	2	0	0	0	0	2	1	0	0	2	1	2	0	1	0
汉川市	0	1	0	0	25	1	2	0	1	2	1	1	1	0	1	1	0	1	0	0	0	1	0	1	3	1	1	0	1	1
兴山县	1	0	0	0	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
蔡甸区	1	0	1	0	56	1	8	0	1	6	7	4	2	1	2	6	0	0	0	0	1	8	0	1	1	3	1	0	4	1
秭归县	1	0	0	0	9	1	3	0	0	1	1	1	2	0	1	1	0	0	0	0	1	1	0	0	1	0	2	0	1	0
西陵区	7	0	0	0	66	1	7	0	0	1	2	17	1	0	1	1	0	0	0	0	0	3	0	0	2	1	4	0	1	0
神农架	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0
通城县	3	0	0	0	3	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0
东宝区	7	0	1	0	24	2	2	0	1	4	1	5	1	0	2	4	0	0	0	0	1	1	0	0	2	0	1	0	1	0
武昌区	5	0	3	0	187	8	25	2	1	13	20	17	6	0	2	5	1	0	0	0	6	17	0	0	6	3	6	0	14	2
梁子湖区	0	0	0	0	3	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
洪湖市	2	0	0	0	28	1	1	0	0	1	1	3	1	0	1	0	0	0	0	0	1	1	0	0	1	1	2	0	2	0
江岸区	17	0	2	0	187	3	14	0	1	11	15	12	4	0	2	3	1	0	0	0	2	13	0	1	0	1	2	0	4	2
伍家岗区	6	0	0	0	18	2	3	0	1	3	1	7	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1
竹溪县	1	0	0	0	8	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	2	1	0	1	0
南漳县	2	0	0	0	15	2	1	0	0	0	1	4	2	0	1	2	0	0	0	0	0	3	0	0	1	2	2	0	1	0
硚口区	8	0	3	0	93	2	11	1	0	11	15	11	2	0	3	4	1	0	0	0	0	7	0	1	2	1	1	0	6	2
大悟县	3	0	0	0	5	3	2	0	0	0	2	4	1	0	2	0	0	0	0	0	0	3	0	0	2	0	1	0	1	0
仙桃市	5	0	0	0	24	2	4	0	1	4	1	4	1	0	1	2	0	0	0	0	0	2	0	0	1	2	1	0	1	1
钟祥市	2	0	0	0	21	2	3	0	0	1	2	3	1	0	1	2	0	0	0	0	2	1	0	1	4	1	3	0	5	0
建始县	1	0	0	0	3	1	2	0	0	0	1	1	0	0	2	1	0	0	0	0	0	2	0	0	0	1	1	0	1	0
襄城区	5	0	1	0	34	1	3	0	1	3	2	9	1	0	6	1	0	0	0	0	0	2	0	0	1	2	2	0	1	0
鄂城区	3	0	0	0	47	1	3	0	1	1	1	7	0	0	2	4	0	0	0	0	0	1	0	0	1	1	1	0	1	1
监利县	2	0	0	0	14	1	2	0	0	0	1	2	1	0	2	2	0	0	0	0	1	4	0	0	1	1	2	0	1	0
麻城市	1	0	0	0	12	2	4	0	0	1	1	3	1	0	2	2	0	0	0	0	2	4	0	1	1	2	1	0	3	0
崇阳县	2	0	0	0	11	1	1	0	0	0	1	1	1	0	2	1	0	0	0	0	1	2	0	0	0	0	1	0	1	0
当阳市	3	0	0	0	6	2	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	1	1	1	0	1	0
张湾区	4	0	0	0	37	1	3	0	1	4	2	1	1	0	5	3	0	0	0	0	0	0	0	0	1	1	1	0	2	0
通山县	1	0	0	0	4	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	2	0	1	0
竹山县	2	0	0	0	4	1	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	3	0	0	1	1	1	0	3	0
江汉区	3	0	0	0	125	2	11	0	0	8	10	16	2	0	1	3	1	0	0	0	0	9	0	0	0	3	2	0	3	1
老河口市	1	0	0	0	9	1	2	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	2	1	1	0	1	0
安陆市	1	0	1	0	14	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0
华容区	1	0	0	0	12	1	2	0	1	2	2	0	1	0	2	2	0	0	0	0	0	2	0	0	1	1	1	0	1	1
鹤峰县	1	0	0	0	8	1	1	0	0	0	1	2	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0
恩施市	6	0	0	0	38	1	4	0	1	4	1	5	1	0	2	3	0	0	0	0	0	2	0	0	1	1	8	0	1	0
黄石港区	4	0	1	0	21	2	2	0	0	2	1	0	1	0	1	4	0	0	0	0	0	0	0	1	1	0	1	0	4	0
咸丰县	1	0	0	0	8	2	2	0	0	0	1	1	1	0	1	1	0	0	0	0	0	3	0	0	0	1	1	0	1	0
茅箭区	9	0	0	0	27	1	2	0	1	4	2	1	1	0	2	4	0	0	0	0	0	1	0	1	1	2	3	0	4	1
枣阳市	1	0	0	0	4	2	2	0	0	1	1	1	1	0	1	2	0	0	0	0	2	1	0	1	1	2	4	0	2	0
浠水县	2	0	0	0	13	1	1	0	0	1	1	1	1	0	1	3	0	0	0	0	1	2	0	0	1	1	1	0	1	0
团风县	1	0	0	0	8	1	2	0	0	0	2	2	1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1
下陆区	1	0	0	0	19	1	1	0	1	2	1	0	1	0	2	2	0	0	0	0	0	0	0	0	1	1	1	0	1	1
长阳	1	0	0	0	6	1	2	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	2	0	1	0
房县	1	0	0	0	5	2	4	0	1	0	2	1	0	0	1	1	0	0	0	0	0	3	0	1	1	1	2	0	2	0
江陵县	1	0	0	0	3	2	1	0	1	0	1	2	1	0	1	2	0	0	0	0	0	1	0	0	1	1	1	0	2	0
新洲区	1	0	0	0	26	2	7	0	0	1	5	5	2	0	2	2	0	0	0	0	3	5	0	1	0	2	1	0	4	0
潜江市	1	0	1	0	11	2	2	0	1	2	1	6	1	0	0	1	0	0	0	0	1	1	0	0	1	0	4	0	1	1
曾都区	8	0	0	0	41	1	2	0	1	3	1	2	1	0	3	1	0	0	0	0	3	1	0	1	1	1	1	0	3	1
点军区	0	0	0	0	9	1	2	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	1	1	2	0	1	0
汉南区	0	0	0	1	9	1	5	0	0	1	3	4	1	0	1	1	0	0	0	0	2	4	0	0	1	3	1	1	3	0
阳新县	1	0	0	0	19	3	2	0	0	0	1	0	1	0	1	4	0	0	0	0	1	2	0	1	3	1	1	0	1	0
樊城区	7	0	0	1	46	2	4	0	1	5	2	15	1	0	6	4	0	0	0	0	0	3	0	1	1	3	2	0	4	0
随县	3	0	0	0	21	2	1	0	0	0	1	8	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0
